date,state,population,Rtdata,Rtmod,Rtmod_ub,Rtmod_lb
2020-05-02,AC,484708,3.382405530644235,2.0006661057248603,2.4233548290480442,1.8761769695235813
2020-05-03,AC,484708,3.0654316359432663,2.000237494457539,2.450305278860851,1.8758141306799705
2020-05-04,AC,484708,2.0088819125244095,1.9997895824590528,2.468601308983522,1.8754244574077867
2020-05-05,AC,484708,3.00250007726566,1.999392563316153,2.480826203532116,1.8750347737210884
2020-05-06,AC,484708,2.9204756977224773,1.9989405914078409,2.488880713642717,1.8745842837725035
2020-05-07,AC,484708,3.201790204780535,1.9984870570562987,2.494157932024798,1.8741668483825515
2020-05-08,AC,484708,2.4753000334313704,1.997981082468614,2.497451105128524,1.873660258241895
2020-05-09,AC,484708,2.739171424086672,1.9974223556397959,2.499307979754513,1.873118762261213
2020-05-10,AC,484708,2.9949342223262225,1.9967687442732744,2.5001797810944457,1.8725032068320069
2020-05-11,AC,484708,2.4855629605907814,1.9960619925766647,2.5003246644955452,1.8718425684993427
2020-05-12,AC,484708,2.2112176382996207,1.9952687589,2.4999092692676688,1.8711219744668528
2020-05-13,AC,484708,2.1600705214283096,1.9943701919278718,2.4990198269546333,1.8703475335992767
2020-05-14,AC,484708,1.910769983169848,1.993371071545364,2.497763240694421,1.869506590570948
2020-05-15,AC,484708,1.5426871854342354,1.9937813206524708,2.4961162438344147,1.868564450650693
2020-05-16,AC,484708,1.5801701711483518,2.004190645568724,2.5393250514592127,1.8675167503478225
2020-05-17,AC,484708,1.2544444489174549,2.05973989950391,2.5871403906290986,1.870440385523184
2020-05-18,AC,484708,2.4918534321714447,2.5019633723165047,3.0053073216717867,1.9796657361261187
2020-04-26,AL,2309064,3.82709008343622,2.051354292263399,2.261391784523412,1.9676693937984318
2020-04-27,AL,2309064,3.3083911410463425,2.051152353327936,2.25910497196237,1.9674638765487489
2020-04-28,AL,2309064,2.8516139077249014,2.0510112789862225,2.2158293594903187,1.9673986270149308
2020-04-29,AL,2309064,2.5937390272582035,2.0508087870175733,2.1790758674562616,1.9671684973561057
2020-04-30,AL,2309064,2.115348142646225,2.050501081426174,2.1664485627383714,1.9670500216409128
2020-05-01,AL,2309064,1.7412781770137389,2.049081955737932,2.166332717317471,1.9669206482868589
2020-05-02,AL,2309064,1.5274194404118986,2.048550967423121,2.1598509638833527,1.966724736226576
2020-05-03,AL,2309064,1.5003935836442828,2.0481498112072973,2.1547124609941792,1.9665772254460967
2020-05-04,AL,2309064,1.6063637158742357,2.0480658864921546,2.1546238132327686,1.9663083455120345
2020-05-05,AL,2309064,1.7445476029870517,2.0473562789798843,2.154577526113374,1.9661853815076071
2020-05-06,AL,2309064,1.8380720821025829,2.0470090695217458,2.1543204519306265,1.966020154903936
2020-05-07,AL,2309064,1.8508805005382087,2.045976198017108,2.1541897718148064,1.9655686486462112
2020-05-08,AL,2309064,1.6955530444208722,2.0454266810147734,2.1538612836639763,1.9642068107754167
2020-05-09,AL,2309064,1.8064290270079555,2.044666023809273,2.1536538533272624,1.9631236518699882
2020-05-10,AL,2309064,1.7041183840434833,2.0442354712489044,2.1532813562516875,1.9622663393679842
2020-05-11,AL,2309064,1.8144169548591869,2.043830002510137,2.153012478624814,1.9615699729919445
2020-05-12,AL,2309064,1.9379726143255889,2.0445336051114698,2.1526116683819234,1.960977124176906
2020-05-13,AL,2309064,2.29159963376328,2.044117738962621,2.153294681374467,1.9604450220500569
2020-05-14,AL,2309064,2.534837845123854,2.0436912397319977,2.162693027363126,1.9598699096044137
2020-05-15,AL,2309064,2.1795441376873406,2.0432259938357924,2.1621440377139605,1.9592031320028431
2020-05-16,AL,2309064,2.157681417699961,2.0426862876436847,2.1647357650416623,1.9588387793899007
2020-05-17,AL,2309064,1.9232931043733317,2.0430818422479424,2.168187035183008,1.9581065557952075
2020-05-18,AL,2309064,2.024577317735122,2.0460026943731107,2.1785773263042087,1.961758638762532
2020-04-15,AP,350933,1.9500097501337663,2.298984938064118,2.3915222050008147,2.1998510208687003
2020-04-16,AP,350933,1.836938136755852,2.2321936362653587,2.3174657119670954,2.1132603540837773
2020-04-17,AP,350933,1.173775668552518,2.180931620767797,2.2646419446735884,2.059538373589057
2020-04-18,AP,350933,1.0957095079925243,2.143513812268476,2.2282798098805467,2.013971558412824
2020-04-19,AP,350933,0.9794607258007688,2.1164119602593567,2.2018022202445344,1.98450438041994
2020-04-20,AP,350933,1.4010974021513,2.0964416541201283,2.182328406208577,1.9634313444446008
2020-04-21,AP,350933,2.0812156531958883,2.082313701478941,2.168132690679796,1.9482098674732835
2020-04-22,AP,350933,2.2100654445950485,2.0719070737207548,2.157733691646465,1.9371293282068
2020-04-23,AP,350933,2.9995041770332844,2.064118453171992,2.1500458466175,1.9290131940254995
2020-04-24,AP,350933,2.5354387330914934,2.0580567021467018,2.1443209938454224,1.9230153792983515
2020-04-25,AP,350933,2.5307373948428795,2.0535098953405875,2.140036328845686,1.9184827822819008
2020-04-26,AP,350933,2.1762213967007478,2.0500245845193072,2.1367288409080007,1.9149803797669225
2020-04-27,AP,350933,1.8242612495565875,2.047313646234944,2.1251193586986727,1.912272408186206
2020-04-28,AP,350933,1.6182770930870458,2.0451815422174096,2.1228382398307097,1.9100868845893344
2020-04-29,AP,350933,1.39003088986407,2.043231632881644,2.120985336551271,1.9082662780700808
2020-04-30,AP,350933,2.323655875313525,2.041742803180849,2.1194211409585044,1.906652880032032
2020-05-01,AP,350933,2.7661466988848846,2.040403536907215,2.117957420749821,1.9051829619007041
