date,state,cases,population,Infec,Infec_ub,Infec_lb,Infec_1,Infec_2
2020-04-21,DF,38,3052546,40.8719199202212,48.24217833569642,34.46083717722544,6243.223338425705,38.80465028431877
2020-04-22,DF,46,3052546,43.041828637460746,51.48724915068815,36.22589102629368,7392.562500101909,39.70852089422184
2020-04-23,DF,9,3052546,46.08521871787207,55.120856792859534,38.419238414768856,8703.616367989878,40.810716477552546
2020-04-24,DF,44,3052546,49.37314776232246,58.742278492396714,41.654832616015184,10178.81718967538,41.97649419530397
2020-04-25,DF,8,3052546,53.23270003104408,63.01456311536933,45.330928191936856,11811.761097983022,43.238060095232974
2020-04-26,DF,105,3052546,57.50842988531817,67.55123877044572,49.49824733687234,13584.324588931133,44.3060735018603
2020-04-27,DF,64,3052546,62.12590120696619,72.26004717729242,54.75615252236614,15419.341921670459,45.3978250866485
2020-04-28,DF,41,3052546,67.02201886247865,77.28322959070843,59.62694542985582,17297.011569252078,46.51969983976079
2020-04-29,DF,83,3052546,72.26954685825453,82.65549154607052,65.08313243824601,18069.81836706998,47.631164212692006
2020-04-30,DF,110,3052546,78.03319526998034,88.39616891691865,70.71085836307644,19431.153004703607,48.761045263574886
2020-05-01,DF,123,3052546,84.11903781045429,94.5306638510578,76.72303216618563,19495.51236189148,49.875755586688726
2020-05-02,DF,59,3052546,90.50369662266516,100.6976547406906,83.19032600043694,19441.70558304967,51.016385100146074
2020-05-03,DF,115,3052546,97.56460053647623,107.49296773918364,90.1331572914346,19008.49063867352,52.18261922608345
2020-05-04,DF,73,3052546,105.14966143790524,114.88726826807024,97.69268653707205,18977.0848530089,53.35420654871766
2020-05-05,DF,44,3052546,113.18232370453757,122.78617787292065,105.90570489806049,18304.671966775106,54.52119169353584
2020-05-06,DF,209,3052546,122.03868674314384,131.2218100931882,114.79268724317622,17670.831178779572,55.759471768467954
2020-05-07,DF,212,3052546,131.43385938380914,140.2304087613009,124.38037557231392,17175.728317610483,57.07783364278379
2020-05-08,DF,184,3052546,141.62234236758616,149.82988956666313,134.5475115427602,16548.625263243455,58.41291004076255
2020-05-09,DF,134,3052546,152.47036574313782,160.79712836103477,144.59243806443996,15698.410619951144,59.743959850666
2020-05-10,DF,106,3052546,164.19585234158927,173.29799822406162,155.49565079430002,15498.021573837965,61.105574934106464
2020-05-11,DF,117,3052546,176.85202765334333,187.15316911617103,167.98760133386284,14870.064507990166,62.613197240000275
