date,state,population,Rtdata,Rtmod,Rtmod_ub,Rtmod_lb
2020-04-13,AC,409762,1.9249707858702272,2.0232268968593923,2.135819744378865,1.8985219916042344
2020-04-14,AC,409762,2.6809252450495635,2.0225516801295003,2.135577178912267,1.897787943810907
2020-04-15,AC,409762,2.53411844720747,2.0222518938414082,2.135178267444488,1.897213078079179
2020-04-16,AC,409762,2.3214488092063417,2.0216809476511752,2.1348587875321767,1.896686684157403
2020-04-17,AC,409762,2.2805784144999923,2.0212708627051006,2.1345108985437844,1.896212360355564
2020-04-18,AC,409762,2.5119790984039505,2.0208299938257963,2.1341223117092705,1.8957274617047344
2020-04-19,AC,409762,2.404880377501896,2.020380460953376,2.133659492750029,1.8952859796952355
2020-04-20,AC,409762,1.944530137944464,2.0199176114077613,2.1331892980295213,1.894839061104994
2020-04-21,AC,409762,1.7049958030731578,2.019379302248024,2.132631139076973,1.8943884170878555
2020-04-22,AC,409762,1.8005216094464038,2.018878003759978,2.132080643952841,1.8939025241224825
2020-04-23,AC,409762,1.7671166853162228,2.0182911686409124,2.1315087430294186,1.8933821255391337
2020-04-24,AC,409762,1.6679111268350342,2.0176646947451085,2.13082958974952,1.8927501155416708
2020-04-25,AC,409762,1.5083973108537487,2.0169354910302424,2.1300411591214625,1.8921247187086352
2020-04-26,AC,409762,1.6180301388756873,2.0161815241198315,2.129168739491764,1.8914800986527682
2020-04-27,AC,409762,2.0089037245567645,2.0152678593056788,2.1281588989633384,1.890771285926946
2020-04-28,AC,409762,2.321858194742191,2.014312373167052,2.1270572710474083,1.8899737271378685
2020-04-29,AC,409762,2.572655828167402,2.0132633528026997,2.125798252261162,1.8890904822787145
2020-04-30,AC,409762,2.928023587576792,2.009613406586236,2.124417044713546,1.8881405517049048
2020-05-01,AC,409762,2.912084527650144,2.004617376111628,2.122383514611646,1.8563961209054567
2020-05-02,AC,409762,2.678119307570728,2.00072305173987,2.1078402224756148,1.7400103374605096
2020-05-03,AC,409762,2.660265395263336,1.9801194571030043,2.0830129656016885,1.6494975163032146
2020-05-04,AC,409762,2.2770689014717345,1.93013954344346,2.0727290804504905,1.583947305554985
2020-05-05,AC,409762,2.1961461975064136,1.8055008365474303,2.00242908974174,1.539449400459307
2020-05-06,AC,409762,2.0617103981949585,1.6717049596044244,1.943237668586274,1.5085879176255763
2020-05-07,AC,409762,1.827808898077664,1.5828825155353397,1.8906301436679296,1.47557529116292
2020-05-08,AC,409762,1.4664666696543611,1.5122230051273302,1.723466788555028,1.4358113113397757
2020-05-09,AC,409762,1.2424723894945622,1.4620480969647862,1.605689098102241,1.39727323211875
2020-05-10,AC,409762,1.1152967784707088,1.4298178552343457,1.5258585304786596,1.3594896837811214
2020-05-11,AC,409762,0.7883159446891178,1.4001915264898668,1.4860332712121451,1.3275910428801598
2020-05-12,AC,409762,0.47485578298310704,1.3814381944289136,1.4752658200871829,1.3056163048517604
2020-05-13,AC,409762,0.3292144284510787,1.3688182827143698,1.4651870162632512,1.2890188249713863
2020-05-14,AC,409762,0.6464451740863221,1.3568008810953922,1.4525724692845885,1.274928314361267
2020-05-15,AC,409762,1.0562198063971084,1.3470718684438223,1.4472468176779552,1.2589082132232785
2020-05-16,AC,409762,1.4083289574984441,1.339598185510238,1.4427981654393771,1.246580816088856
2020-05-17,AC,409762,1.3916174544634938,1.3342964823205352,1.4394156055928455,1.2369967017975965
2020-05-18,AC,409762,2.192290438073325,1.3301381087429691,1.4363135377516707,1.2304066883785802
2020-04-20,AL,1042028,3.5345472379456915,2.151229257533393,2.3392872662285504,1.9918496740523808
2020-04-21,AL,1042028,3.744478245653287,2.1504569755966734,2.338869690563392,1.9915449010685105
2020-04-22,AL,1042028,3.5608367534192467,2.149263413990047,2.338376933722251,1.9848253014728217
2020-04-23,AL,1042028,3.1841692024546915,2.148714083718143,2.3378116384979983,1.97341796714482
