date,state,population,Rtdata,Rtmod,Rtmod_ub,Rtmod_lb
2020-05-06,ES,667393.0,1.2260521560418178,1.4574404925402191,1.4935337311232848,1.4269759156177333
2020-05-07,ES,667393.0,1.2461431101365614,1.4567668202279114,1.492876964796202,1.4262645943667769
2020-05-08,ES,667393.0,1.2544207977497135,1.4561389307146466,1.4922435181417586,1.4256092881911506
2020-05-09,ES,667393.0,1.3085068110334137,1.4555095150288897,1.4916400824988016,1.4249977150565052
2020-05-10,ES,667393.0,1.3297440144953536,1.4549011188075818,1.4909162533378293,1.4243327944415385
2020-05-11,ES,667393.0,1.4301259908397908,1.4543376606683398,1.490491575109978,1.423879746147326
2020-05-12,ES,667393.0,1.5575630741971045,1.4537575726839456,1.4898709009619888,1.4232235275641532
2020-05-13,ES,667393.0,1.5889451846480718,1.4531256520562077,1.4891587322010142,1.4226084002487358
2020-05-14,ES,667393.0,1.435589269398831,1.4524853376925928,1.4884750373365028,1.4219874910820731
2020-05-15,ES,667393.0,1.4322790363142994,1.451828250848282,1.4877752151725259,1.4213558029470184
2020-05-16,ES,667393.0,1.4701257115258006,1.4511481232450243,1.4870467058868575,1.4207008120286881
2020-05-17,ES,667393.0,1.631047346035311,1.4504244664382735,1.4862795075659618,1.4200167105262955
2020-05-18,ES,667393.0,1.5329836842389637,1.4496739862006989,1.4854744698053168,1.4193037004641675
2020-04-04,GO,235647.0,2.2493667560309123,1.5024543365861809,1.55684235941176,1.4667126439646545
2020-04-05,GO,235647.0,3.4343817905413454,1.4992957378071885,1.5463527415487064,1.4638132845528
2020-04-06,GO,235647.0,2.5738953546110883,1.496790990680883,1.544572815445081,1.4617075389209626
2020-04-07,GO,235647.0,2.4767257608849094,1.496055109272692,1.5433430322193455,1.4600419816939152
2020-04-08,GO,235647.0,2.56498671035781,1.49312241213012,1.5420757877034998,1.4586678429087672
2020-04-09,GO,235647.0,2.370895371043344,1.4930567925259564,1.54101951187028,1.4576145598986048
2020-04-10,GO,235647.0,1.6583589910673482,1.4924844785606657,1.540185213108875,1.4565465993005082
2020-04-11,GO,235647.0,1.6196177494467978,1.4914766153756869,1.5467852109265268,1.4559646713868224
2020-04-12,GO,235647.0,1.5128188632058028,1.4929835838107026,1.5439890474439533,1.4547658977118998
2020-04-13,GO,235647.0,1.4883177255789972,1.4923068010482037,1.5491839662736249,1.4550877331769323
2020-04-14,GO,235647.0,1.3432001935613072,1.4918710721686144,1.5340086233970889,1.4550714263374411
2020-04-15,GO,235647.0,1.1999932149848498,1.4876203840724045,1.533844197296116,1.4473508275764433
2020-04-16,GO,235647.0,1.388059150566897,1.4883538379662404,1.5354008054322037,1.4507082145893961
2020-04-17,GO,235647.0,1.1052082978008566,1.4892287891029,1.533417449291722,1.4536017852450152
2020-04-18,GO,235647.0,1.1609038365457678,1.4894750336701674,1.5330547248233568,1.4541769347517204
2020-04-19,GO,235647.0,1.0041836489228626,1.4905250744940035,1.534157323963657,1.4540775321614787
2020-04-20,GO,235647.0,1.031851811020886,1.489898949684166,1.5331583147273031,1.4487480450611327
2020-04-21,GO,235647.0,1.3970188361337097,1.4890995044846436,1.5328732391874706,1.4510630973925782
2020-04-22,GO,235647.0,1.4430313992786912,1.4890117238623244,1.533176971501772,1.4536494430254772
2020-04-23,GO,235647.0,1.3125538049177146,1.4888480891168234,1.5332801443607966,1.4524303449112337
2020-04-24,GO,235647.0,1.340937731825647,1.4889512725305682,1.5359467846225068,1.4530761548538385
2020-04-25,GO,235647.0,1.563848801780891,1.488874703508932,1.5330111380187603,1.453359194244415
2020-04-26,GO,235647.0,1.8171005900756445,1.4888732810561531,1.5346321662992397,1.4535906285659423
2020-04-27,GO,235647.0,1.762298001645622,1.4889109673868366,1.5310985027069737,1.4534416129546868
2020-04-28,GO,235647.0,1.7698040683685718,1.4890094077170408,1.5325475563439968,1.4534237672517103
2020-04-29,GO,235647.0,1.6352355883573508,1.4887833235670689,1.5374161599233869,1.4534940690151827
2020-04-30,GO,235647.0,1.4274423519793016,1.488170566116621,1.5319832679638572,1.4534901496641193
2020-05-01,GO,235647.0,1.15965227805768,1.4887071531852212,1.53348873463,1.4537624364203539
2020-05-02,GO,235647.0,0.8792853261923006,1.488682446874296,1.532211890526627,1.45773662834977
2020-05-03,GO,235647.0,0.5564763353081982,1.490044811123869,1.536726476793189,1.4576141672099543
2020-05-04,GO,235647.0,1.4828057047084704,1.4910200402539435,1.5516736352945588,1.4577778989473993
2020-05-05,GO,235647.0,1.638565504477237,1.4906690925547796,1.5874123832907314,1.4578829572440766
2020-05-06,GO,235647.0,1.5175880912300543,1.4922019726858051,1.6079005281112169,1.4586044126760598
2020-05-07,GO,235647.0,1.4239509712157912,1.4907512870510953,1.6231038867174314,1.453768843892833
2020-05-08,GO,235647.0,1.4247619615460911,1.4928150261049111,1.6337792528015596,1.4566266654740931
2020-05-09,GO,235647.0,1.431851310941663,1.501013532242146,1.64165935962179,1.4647203398944717
2020-05-10,GO,235647.0,0.7128833693424127,1.5168226665341944,1.6841148266706598,1.465586569554718
2020-05-11,GO,235647.0,1.7495779708328592,1.5606864983800852,1.7485259127421997,1.4817274888861514
2020-05-12,GO,235647.0,1.9246646863777013,1.645898430995527,1.8168525002273035,1.4931032272688018
2020-05-13,GO,235647.0,2.0280802674801994,1.711908102530329,1.8640276512292668,1.5034804708338654
2020-05-14,GO,235647.0,1.783684522876319,1.7651601825606391,1.911800968507018,1.503361061803714
2020-05-15,GO,235647.0,2.0754481544844365,1.8048585150936969,1.9449121354636936,1.5031778579294488
2020-05-16,GO,235647.0,2.1171692198085936,1.8356155241323604,1.9734187935868224,1.5285167143364475
2020-05-17,GO,235647.0,1.7040403798085992,1.854188085474264,1.9953083899202948,1.6196346866815516
2020-05-18,GO,235647.0,1.8220187153762035,1.8793941063672253,2.0134647786183337,1.6463824547663908
2020-04-11,MA,371127.0,2.023415483745436,2.9315006990606154,3.0249926387803208,2.85086391098592
2020-04-12,MA,371127.0,2.1988537634649568,2.820381156804312,2.9479117228746228,2.750130069603828
2020-04-13,MA,371127.0,2.2069015254998248,2.7565219787940305,2.9444028283632555,2.6960016612897366
2020-04-14,MA,371127.0,2.8476457051486275,2.7110039129033816,2.8261901337462114,2.647270473089632
2020-04-15,MA,371127.0,3.002171668776533,2.6848555426791267,2.816783490148364,2.620853909863107
2020-04-16,MA,371127.0,2.8908114377723364,2.6597631671095194,2.7763471450742085,2.5894812829049227
2020-04-17,MA,371127.0,2.762318194120444,2.645180311774922,2.7618735136639625,2.5752093246893777
2020-04-18,MA,371127.0,2.457536627027197,2.6341498525162512,2.7523194152919355,2.5649386064774005
2020-04-19,MA,371127.0,2.2798492593569533,2.626241713826307,2.7367965782602455,2.556963705172919
2020-04-20,MA,371127.0,1.970501031139624,2.619469083597667,2.7323432569059136,2.5427567603573467
2020-04-21,MA,371127.0,1.8825511684235183,2.6158238745555287,2.7289995972412333,2.538711242761824
2020-04-22,MA,371127.0,1.7070214390747414,2.613343551208596,2.7265081730445906,2.535810591560056
2020-04-23,MA,371127.0,1.6541103751345014,2.611335689444906,2.725022117689889,2.5336642127763875
2020-04-24,MA,371127.0,1.5809874915845927,2.609934539789493,2.7238943964782187,2.532168774662648
2020-04-25,MA,371127.0,1.8725907641839723,2.608891601475996,2.722958785694243,2.531211969130691
2020-04-26,MA,371127.0,2.045222410840476,2.608108868442339,2.7222443850024707,2.530102627880317
2020-04-27,MA,371127.0,1.9763562904011696,2.6076081610647606,2.721750509904294,2.5295453941128168
2020-04-28,MA,371127.0,2.3732830577049886,2.607021352822527,2.721192643390499,2.5291304492642874
2020-04-29,MA,371127.0,2.4929130184741486,2.606549042283993,2.72078619912632,2.5286360898294635
2020-04-30,MA,371127.0,2.486663542703916,2.6061393914567303,2.7203618017621167,2.5280517227768806
2020-05-01,MA,371127.0,2.3844719836954966,2.6056272078872404,2.719832137829135,2.527572981363055
2020-05-02,MA,371127.0,2.378109969311551,2.605211316576636,2.710792652430138,2.5271555197870548
2020-05-03,MA,371127.0,2.3493972510786842,2.6019134288713417,2.7100154039966027,2.3719295228470973
2020-05-04,MA,371127.0,2.3386711141699257,2.59649045871014,2.682661206260354,2.209231801624858
2020-05-05,MA,371127.0,2.8295156472723813,2.5916985992900416,2.6819127167491392,2.1024867979464004
2020-05-06,MA,371127.0,3.0866201878479065,2.583840427990379,2.6761682099605317,2.0312773023587347
2020-05-07,MA,371127.0,2.6179376075562133,2.546138243506371,2.6469201922855947,1.9857062523625124
2020-05-08,MA,371127.0,2.2194775820695978,2.3263634162798805,2.5912035220176697,1.9536280690552312
2020-05-09,MA,371127.0,2.156256808338158,2.115118846184794,2.460179699636273,1.903946550772872
2020-05-10,MA,371127.0,2.1048830222646457,1.9896819765223293,2.2284826514928664,1.8654728918335124
2020-05-11,MA,371127.0,1.8715308327975402,1.9011930806945383,2.070067487456587,1.8258409540231524
2020-05-12,MA,371127.0,1.7226756363479288,1.8514727047315256,1.9759842949667328,1.7841848190966778
2020-05-13,MA,371127.0,1.8428410032088032,1.813395860213037,1.921558591345748,1.7423395190596591
2020-05-14,MA,371127.0,1.876336314251981,1.7869061344425503,1.8914604111445208,1.709104766432565
2020-05-15,MA,371127.0,1.8366676163009887,1.7669638361033786,1.8750847933080337,1.6853778678360989
2020-05-16,MA,371127.0,1.729762767963841,1.7517667718847163,1.8720582411768527,1.6682079442998023
2020-05-17,MA,371127.0,1.6623073111845914,1.7386435606185615,1.869473266190936,1.6556032752546952
2020-05-18,MA,371127.0,1.7160979109549692,1.7298557830927457,1.8671808125784248,1.6462046994202058
2020-04-09,MT,284971.0,1.3937214667972808,1.4644485339480608,2.0895563292908843,1.1209662308610944
2020-04-10,MT,284971.0,1.328190480341222,1.3692165181060123,1.8521712563097,0.9661962666112688
2020-04-11,MT,284971.0,1.0617049879227989,1.2734215146995804,1.6937917331633447,0.886626037117749
2020-04-12,MT,284971.0,0.9769480473218612,1.2159400051260607,1.6780076144888738,0.7794814521276731
2020-04-13,MT,284971.0,0.9132940106715506,1.1804280996390502,1.6945888680895953,0.6812391643210562
2020-04-14,MT,284971.0,0.7338655158554629,1.1491219167713216,1.7073269067090386,0.7521587511875256
2020-04-15,MT,284971.0,0.9154675940434126,1.1342015740497104,1.7122442468989911,0.7622358130235976
2020-04-16,MT,284971.0,0.8811604418391048,1.136376121469068,1.7095921428717489,0.7233470575645558
2020-04-17,MT,284971.0,0.9818458933209552,1.1679597835452311,1.7078396456731268,0.6995092231559779
2020-04-18,MT,284971.0,0.5854136149764443,1.2370282211221977,1.706558266454508,0.7450002397101868
2020-04-19,MT,284971.0,1.3887643116099264,1.286535500391294,1.7122129707813891,0.8258259905586658
2020-04-20,MT,284971.0,1.7532742140633608,1.3454076174747394,1.70131727554377,0.9860004923691276
2020-04-21,MT,284971.0,1.8617233843319687,1.4181518224633074,1.6998634007001687,1.125465721859459
2020-04-22,MT,284971.0,1.6603713067854091,1.4953198473808729,1.7060758381701864,1.1804433482490784
2020-04-23,MT,284971.0,1.4329352026351323,1.553834115735103,1.7183258599312796,1.1788352281171508
