state,type,beta0,beta1,beta2,tcut0,tcut1,delta,R0,date_first_case,date_com_trans
RN,State,1.67 (1.49 - 1.97),0.82 (0.73 - 1.11),-,Mar/28 (Mar/27 - Apr/03),-,0.38 (0.31 - 0.58),3.11 (2.49 - 4.78),Mar/12,Mar/20
RN,Inland cities,1.8 (1.61 - 1.97),0.81 (0.7 - 1.06),-,Mar/28 (Mar/27 - Apr/03),-,0.4 (0.32 - 0.64),3.46 (2.73 - 5.11),-,-
RO,Capital,1.38 (1.18 - 1.9),0.86 (0.74 - 1.17),-,May/05 (May/04 - May/07),-,0.24 (0.19 - 0.47),2.03 (1.57 - 4.02),-,-
RO,State,1.37 (1.17 - 1.88),0.91 (0.76 - 1.23),-,May/02 (Apr/30 - May/06),-,0.25 (0.2 - 0.57),2.06 (1.59 - 4.5),Mar/20,Mar/31
RO,Inland cities,1.09 (0.84 - 1.72),1.3 (0.91 - 1.98),-,May/02 (Apr/20 - May/20),-,0.34 (0.26 - 0.59),1.91 (1.28 - 4.22),-,-
RR,Capital,1.4 (1.22 - 1.78),0.93 (0.8 - 1.22),-,May/05 (Apr/17 - May/07),-,0.2 (0.11 - 0.46),1.9 (1.35 - 3.72),-,-
RR,State,1.39 (1.2 - 1.8),0.88 (0.77 - 1.22),-,May/05 (May/05 - May/08),-,0.19 (0.14 - 0.45),1.85 (1.43 - 3.71),Mar/21,May/22
RR,Inland cities,1.27 (1.06 - 1.85),0.5 (0.28 - 0.97),-,May/13 (May/07 - May/17),-,0.27 (0.19 - 0.49),1.98 (1.41 - 4.02),-,-
RS,Capital,1.72 (1.55 - 1.97),0.42 (0.38 - 0.53),-,Mar/25 (Mar/25 - Mar/30),-,0.44 (0.39 - 0.65),3.5 (2.93 - 5.16),-,-
RS,State,1.81 (1.64 - 2),0.78 (0.71 - 0.98),-,Mar/20 (Mar/19 - Mar/25),-,0.42 (0.34 - 0.63),3.58 (2.87 - 5.13),Mar/10,Mar/20
RS,Inland cities,1.01 (0.87 - 1.41),1.65 (1.46 - 1.96),-,May/17 (May/16 - May/19),-,0.33 (0.24 - 0.57),1.74 (1.28 - 3.38),-,-
SC,Capital,0.79 (0.7 - 1.37),1.86 (1.67 - 1.99),-,May/17 (May/15 - May/19),-,0.36 (0.27 - 0.62),1.43 (1.09 - 3.47),-,-
SC,State,1.8 (1.7 - 1.99),0.64 (0.58 - 0.87),-,Mar/24 (Mar/22 - Mar/30),-,0.51 (0.41 - 0.67),4.01 (3.31 - 5.33),Mar/12,Mar/27
SC,Inland cities,1.79 (1.63 - 1.98),0.68 (0.62 - 0.94),-,Mar/24 (Mar/23 - Apr/05),-,0.47 (0.39 - 0.62),3.79 (3.08 - 5.02),-,-
SE,Capital,1.37 (1.21 - 1.79),0.84 (0.74 - 1.12),-,May/08 (May/07 - May/12),-,0.27 (0.22 - 0.46),2.13 (1.71 - 3.74),-,-
SE,State,1.35 (1.17 - 1.89),0.9 (0.81 - 1.38),-,May/08 (May/07 - May/15),-,0.29 (0.2 - 0.54),2.18 (1.59 - 4.37),Mar/14,Mar/20
SE,Inland cities,0.97 (0.65 - 1.54),1.03 (0.76 - 1.61),-,May/14 (Mar/28 - May/20),-,0.32 (0.23 - 0.59),1.65 (0.94 - 3.78),-,-
SP,Capital,1.59 (1.35 - 1.95),0.69 (0.6 - 0.9),-,Mar/31 (Mar/30 - Apr/03),-,0.39 (0.3 - 0.59),3.01 (2.21 - 4.78),-,-
SP,State,1.6 (1.45 - 1.96),0.72 (0.65 - 0.9),-,Apr/01 (Mar/31 - Apr/04),-,0.38 (0.28 - 0.57),2.98 (2.3 - 4.7),Feb/26,Mar/12
SP,Inland cities,1.61 (1.42 - 1.94),0.71 (0.63 - 0.91),-,Apr/04 (Apr/02 - Apr/08),-,0.43 (0.36 - 0.62),3.23 (2.57 - 4.92),-,-
TO,Capital,0.96 (0.74 - 1.68),0.88 (0.69 - 1.82),-,May/08 (Apr/06 - May/18),-,0.21 (0.12 - 0.47),1.33 (0.84 - 3.55),-,-
TO,State,1.14 (0.9 - 1.55),1.08 (0.94 - 1.54),-,May/07 (May/02 - May/15),-,0.31 (0.24 - 0.58),1.9 (1.32 - 3.76),Mar/18,Apr/24
TO,Inland cities,1.39 (1.19 - 1.72),1.05 (0.94 - 1.4),-,May/08 (May/06 - May/12),-,0.34 (0.28 - 0.55),2.44 (1.88 - 4.02),-,-
