date,state,cases,population,Infec,Infec_ub,Infec_lb,Infec_1,Infec_2
2020-04-16,PB,18,847296,12.686631174244333,14.037922122866693,11.57255574262854,12.686631174244333,
2020-04-17,PB,6,847296,14.07574089310711,15.56215892744886,12.97260002045526,14.07574089310711,
2020-04-18,PB,15,847296,15.643218354846375,17.272166727886837,14.317106934076085,15.643218354846375,
2020-04-19,PB,9,847296,17.394949437086716,19.20877771015909,15.90541419760948,17.394949437086716,
2020-04-20,PB,13,847296,19.41787515516101,21.424111289131567,17.63112003235114,19.41787515516101,
2020-04-21,PB,20,847296,21.642130719108657,23.81208630779395,19.500727206436785,21.642130719108657,
2020-04-22,PB,25,847296,24.055607919155282,26.66508971574072,21.5581012746946,24.055607919155282,
2020-04-23,PB,24,847296,26.838618712006546,29.98100131205289,23.627444126086306,26.838618712006546,
2020-04-24,PB,32,847296,29.87702734534113,33.557851849959555,25.868539979050198,29.87702734534113,
2020-04-25,PB,27,847296,33.14314375784964,37.212374194687364,28.466610555361484,33.14314375784964,
2020-04-26,PB,36,847296,36.866764544643175,41.731553852275134,31.255928551226035,36.907445272159976,
2020-04-27,PB,61,847296,40.935567201941325,46.51050997256397,34.22603724209374,41.0258556541937,
2020-04-28,PB,26,847296,45.03058102172004,50.77258080012264,37.47399834449038,45.636940917797354,
2020-04-29,PB,63,847296,48.82150409438056,55.54620254855834,40.63982655914421,50.59202234204649,
2020-04-30,PB,64,847296,52.04993147496951,58.214108669312886,43.651015658813364,56.42564214914972,
2020-05-01,PB,51,847296,53.76677255181346,60.5159052281905,46.08067381835434,62.624010236950504,
2020-05-02,PB,87,847296,55.023950129839754,63.62366696440422,48.61740747810863,69.48690179363925,
2020-05-03,PB,10,847296,56.57580601964159,63.657176455194566,50.52185207969725,77.25104193838865,
2020-05-04,PB,91,847296,58.11415740366946,64.12796822855988,52.54059960281637,85.90260506578558,
2020-05-05,PB,63,847296,59.803328389433915,65.16274825202923,54.661574684207885,95.09649858004109,
2020-05-06,PB,42,847296,61.7112785859467,66.86788118850372,56.8787514632736,105.31733293746358,
2020-05-07,PB,75,847296,63.76284542239482,68.50643400401465,59.14367131602748,117.0400336335618,
2020-05-08,PB,80,847296,65.8868176213678,70.43823602601276,61.39587599398836,129.8779526690259,
2020-05-09,PB,52,847296,68.12652399263463,72.47944183557921,63.918541270156524,143.93231260866003,
2020-05-10,PB,65,847296,70.35771822666776,74.62736303987866,66.60935404848853,159.87635460367446,
2020-05-11,PB,51,847296,72.73304557413877,76.70161628483572,69.04142658003644,177.53635414040008,
2020-05-12,PB,86,847296,75.18809972463485,78.95197788670517,71.51029890736527,197.08732114292357,
2020-05-13,PB,52,847296,77.91250857021872,81.17596901397981,74.13833363633665,218.71593178531865,
2020-05-14,PB,83,847296,80.57374269757233,83.89430525163891,76.47812925645715,242.6289374444859,
2020-05-15,PB,27,847296,83.00234179238201,87.00407683286255,78.84758178876777,269.05663166678823,
2020-05-16,PB,62,847296,85.85681808846374,90.22133546937424,81.15365552420658,298.26484225180815,
2020-05-17,PB,157,847296,88.92346785054201,93.43931501068589,83.43024045486683,330.32820414787267,
2020-05-18,PB,102,847296,92.01233748848064,97.23944372318176,85.59937142261478,365.4969250733475,
2020-05-19,PB,90,847296,94.98537100719801,100.9684976310713,87.81799308151176,404.1456712455806,
2020-05-20,PB,199,847296,98.13158832265049,104.83458034149405,90.0869959275902,446.571043163148,
2020-05-21,PB,138,847296,101.34742109140915,108.87206564623665,92.40664651235231,493.07193721394026,
2020-05-22,PB,0,847296,104.84748315905064,113.2133171088702,94.76686057040205,543.9544694195678,
