date,state,cases,population_x,Infec,population_y,Rtdata,Rtmod
2020-03-17,AC,3,894470,0.0,,,
2020-03-18,AC,3,894470,0.8689193214086959,,,
2020-03-19,AC,4,894470,1.8220899687387708,,,
2020-03-20,AC,7,894470,2.8649370278000164,,,
2020-03-21,AC,11,894470,4.0058157767375295,,,
2020-03-22,AC,11,894470,5.254486782515049,,,
2020-03-23,AC,17,894470,6.622123010619534,,,
2020-03-24,AC,21,894470,8.120893142067173,,,
2020-03-25,AC,23,894470,9.763539382751192,,,
2020-03-26,AC,23,894470,11.564102099233995,,,
2020-03-27,AC,25,894470,13.538350172553944,,,
2020-03-28,AC,25,894470,15.703559126806546,,,
2020-03-29,AC,34,894470,18.078458778341364,,,
2020-03-30,AC,41,894470,20.68349609445172,,,
2020-03-31,AC,42,894470,23.541041588823447,,,
2020-04-01,AC,43,894470,26.675863566256233,,,
2020-04-02,AC,45,894470,30.114787952933373,,,
2020-04-03,AC,46,894470,33.88740570700354,,,
2020-04-04,AC,46,894470,38.0263110500275,,,
2020-04-05,AC,48,894470,42.567886642086336,,,
2020-04-06,AC,50,894470,47.55101979379782,,,
2020-04-07,AC,50,894470,53.016571778824776,,,
2020-04-08,AC,58,894470,59.01434262204694,,,
2020-04-09,AC,62,894470,65.59241702822968,,,
2020-04-10,AC,70,894470,72.8111359554385,,,
2020-04-11,AC,72,894470,80.7285950399411,,,
2020-04-12,AC,77,894470,89.41469650384815,,,
2020-04-13,AC,90,894470,98.94275973922758,,,
2020-04-14,AC,99,894470,109.39684987630486,,,
2020-04-15,AC,101,894470,120.86358178184445,,,
2020-04-16,AC,115,894470,133.44445940883077,,,
2020-04-17,AC,135,894470,147.2445151700278,,,
2020-04-18,AC,142,894470,162.38338905686138,,,
2020-04-19,AC,163,894470,178.9867062261106,409762.0,3.070793582483617,2.56513298484528
2020-04-20,AC,176,894470,197.19871382307824,409762.0,3.2833028641359596,2.564226090430795
2020-04-21,AC,195,894470,217.17643748772545,409762.0,2.9721810280676264,2.5635734566625468
2020-04-22,AC,214,894470,239.09026215772386,409762.0,2.3197008684548206,2.5629490806260025
2020-04-23,AC,227,894470,263.12760213172515,409762.0,2.283431992385452,2.5622928292449227
2020-04-24,AC,234,894470,289.49424309392543,409762.0,2.1162463744375875,2.5615980961396647
2020-04-25,AC,258,894470,318.4131877808843,409762.0,2.1625943304292075,2.5608652796198292
2020-04-26,AC,279,894470,350.1321145833599,409762.0,2.2559721042871668,2.560077965643913
2020-04-27,AC,301,894470,384.9201715347869,409762.0,2.1758036118014425,2.5591612248474376
2020-04-28,AC,317,894470,423.07377437929637,409762.0,2.572012285575137,2.5582307647960203
2020-04-29,AC,354,894470,464.9169697871455,409762.0,3.3044127682071425,2.557230916194116
2020-04-30,AC,404,894470,510.8028259382292,409762.0,4.013262039040779,2.4699563374115665
2020-05-01,AC,487,894470,560.4817337163835,409762.0,4.7687692445148855,2.328840985977687
2020-05-02,AC,553,894470,613.7842737466309,409762.0,4.567638312530539,2.218945698715737
2020-05-03,AC,658,894470,671.1792157057267,409762.0,3.8936001912504734,2.1309280557778614
2020-05-04,AC,733,894470,733.0869556616742,409762.0,3.8558700939152013,2.0597884562815447
2020-05-05,AC,817,894470,799.9214181282184,409762.0,3.0366167700588336,2.002150094116692
2020-05-06,AC,943,894470,872.1051151958127,409762.0,3.0456055380409643,1.9555259900176931
2020-05-07,AC,1014,894470,950.0818980946996,409762.0,3.158273936305319,1.9178990762979409
2020-05-08,AC,1177,894470,1034.3212769493628,409762.0,2.4850781779718645,1.8875879409065548
